ID,Name,github src,Manufacturer,Burst,Element,Class,Rarity,Gun,Reload Time,Ammo,RoF,RoF/60,Burst value,F1/ 0.000,F2/ 0.033,F3/ 0.067,F4/ 0.100,F5/ 0.133,F6/ 0.167,F7/ 0.200,F8/ 0.233,F9/ 0.267,F10/ 0.300,F11/ 0.333,F12/ 0.367,F13/ 0.400,F14/ 0.433,F15/ 0.467,F16/ 0.500,F17/ 0.533,F18/ 0.567,F19/ 0.600,F20/ 0.633,F21/ 0.667,F22/ 0.700,F23/ 0.733,F24/ 0.767,F25/ 0.800,F26/ 0.833,F27/ 0.867,F28/ 0.900,F29/ 0.933,F30/ 0.967,F31/ 1.000,F32/ 1.033,F33/ 1.067,F34/ 1.100,F35/ 1.133,F36/ 1.167,F37/ 1.200,F38/ 1.233/ 2RL,F39/ 1.267,F40/ 1.300,F41/ 1.333,F42/ 1.367,F43/ 1.400,F44/ 1.433,F45/ 1.467,F46/ 1.500,F47/ 1.533,F48/ 1.567,F49/ 1.600,F50/ 1.633,F51/ 1.667,F52/ 1.700,F53/ 1.733,F54/ 1.767,F55/ 1.800,F56/ 1.833,F57/ 1.867,F58/ 1.900,F59/ 1.933,F60/ 1.967,F61/ 2.000,F62/ 2.033,F63/ 2.067,F64/ 2.100,F65/ 2.133,F66/ 2.167,F67/ 2.200,F68/ 2.233,F69/ 2.267,F70/ 2.300,F71/ 2.333,F72/ 2.367,F73/ 2.400,F74/ 2.433,F75/ 2.467/ 2RL,F76/ 2.500,F77/ 2.533,F78/ 2.567,F79/ 2.600,F80/ 2.633,F81/ 2.667,F82/ 2.700,F83/ 2.733,F84/ 2.767,F85/ 2.800,F86/ 2.833,F87/ 2.867,F88/ 2.900,F89/ 2.933,F90/ 2.967,F91/ 3.000,F92/ 3.033,F93/ 3.067,F94/ 3.100,F95/ 3.133,F96/ 3.167,F97/ 3.200,F98/ 3.233,F99/ 3.267,F100/ 3.300,F101/ 3.333,F102/ 3.367,F103/ 3.400,F104/ 3.433,F105/ 3.467,F106/ 3.500,F107/ 3.533,F108/ 3.567,F109/ 3.600,F110/ 3.633,F111/ 3.667,F112/ 3.700/ 3RL,F113/ 3.733,F114/ 3.767,F115/ 3.800,F116/ 3.833,F117/ 3.867,F118/ 3.900,F119/ 3.933,F120/ 3.967,F121/ 4.000,F122/ 4.033,F123/ 4.067,F124/ 4.100,F125/ 4.133,F126/ 4.167,F127/ 4.200,F128/ 4.233,F129/ 4.267,F130/ 4.300,F131/ 4.333,F132/ 4.367,F133/ 4.400,F134/ 4.433,F135/ 4.467,F136/ 4.500,F137/ 4.533,F138/ 4.567,F139/ 4.600,F140/ 4.633,F141/ 4.667,F142/ 4.700,F143/ 4.733,F144/ 4.767,F145/ 4.800,F146/ 4.833,F147/ 4.867,F148/ 4.900,F149/ 4.933,F150/ 4.967/ 4RL
58,Mana (s2 lvl4),https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Mana%20%28s2%20lvl4%29.webp,Missilis,B3,Wind,Attacker,SSR,AR,2,60,720,12,0.33075,0.33075,0.33075,0.33075,0.33075,0.6615,0.6615,0.6615,0.99225,0.99225,0.99225,1.323,1.323,1.323,1.65375,1.65375,1.65375,1.9845,1.9845,1.9845,2.31525,2.31525,2.31525,2.646,2.646,2.646,2.97675,2.97675,2.97675,3.3075,3.3075,3.3075,3.3075,3.63825,3.63825,3.63825,3.969,3.969,3.969,4.29975,4.29975,4.29975,4.6305,4.6305,4.6305,4.96125,4.96125,4.96125,5.292,5.292,5.292,5.62275,5.62275,5.62275,5.9535,5.9535,5.9535,6.28425,6.28425,6.28425,6.615,6.615,6.615,6.615,6.94575,6.94575,6.94575,7.2765,7.2765,7.2765,7.60725,7.60725,7.60725,7.938,7.938,7.938,8.26875,8.26875,8.26875,8.5995,8.5995,8.5995,8.93025,8.93025,8.93025,9.261,9.261,9.261,9.59175,9.59175,9.59175,9.9225,9.9225,9.9225,9.9225,10.25325,10.25325,10.25325,10.584,10.584,10.584,10.91475,10.91475,10.91475,11.2455,11.2455,11.2455,11.57625,11.57625,11.57625,11.907,11.907,11.907,12.23775,12.23775,12.23775,12.5685,12.5685,12.5685,12.89925,12.89925,12.89925,12.89925,13.23,13.23,13.23,13.56075,13.56075,13.56075,13.8915,13.8915,13.8915,14.22225,14.22225,14.22225,14.553,14.553,14.553,14.88375,14.88375,14.88375,15.2145,15.2145,15.2145,15.54525,15.54525,15.54525,15.876,15.876,15.876,16.20675
59,Mica Snow Buddy (level 1 s2),https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Mica%20Snow%20Buddy%20%28level%201%20s2%29.webp,Tetra,B1,Iron,Supporter,SSR,SMG,2,60,1440,24,0.1466666667,0.1466666667,0.1466666667,0.2933333333,0.2933333333,0.44,0.5866666667,0.5866666667,0.7333333333,0.88,0.88,1.026666667,1.173333333,1.173333333,1.32,1.466666667,1.466666667,1.613333333,1.613333333,1.76,1.906666667,1.906666667,2.053333333,2.2,2.2,2.346666667,2.493333333,2.493333333,2.64,2.786666667,2.786666667,2.933333333,2.933333333,3.08,3.226666667,3.226666667,3.373333333,3.52,3.52,3.666666667,3.813333333,3.813333333,3.96,4.106666667,4.106666667,4.253333333,4.4,4.4,4.546666667,4.546666667,4.693333333,4.84,4.84,4.986666667,5.133333333,5.133333333,5.28,5.426666667,5.426666667,5.573333333,5.72,5.72,5.866666667,5.866666667,6.013333333,6.16,6.16,6.306666667,6.453333333,6.453333333,6.6,6.746666667,6.746666667,6.893333333,7.04,7.04,7.186666667,7.186666667,7.333333333,7.48,7.48,7.626666667,7.773333333,7.773333333,7.92,8.066666667,8.066666667,8.213333333,8.36,8.36,8.506666667,8.653333333,8.653333333,8.8,8.8,8.946666667,9.093333333,9.093333333,9.24,9.386666667,9.386666667,9.533333333,9.68,9.68,9.826666667,9.973333333,9.973333333,10.12,10.12,10.26666667,10.41333333,10.41333333,11.88,10.70666667,10.70666667,10.85333333,11,11,11.14666667,11.29333333,11.29333333,11.44,11.44,11.58666667,11.73333333,11.73333333,11.88,12.02666667,12.02666667,12.17333333,12.32,12.32,12.46666667,12.61333333,12.61333333,12.76,12.90666667,12.90666667,13.05333333,13.05333333,13.2,13.34666667,13.34666667,13.49333333,13.64,13.64,13.78666667,13.93333333,13.93333333,15.18,15.18
60,Belorta,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Belorta.webp,Tetra,B2,Electric,Attacker,SR,RL,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,11.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,16.8,11.2
61,Ein,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Ein.webp,Missilis,B3,Electric,Attacker,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,11.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,14,14
62,N102,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/N102.webp,Missilis,B1,Water,Supporter,SR,RL,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,11.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,16.8,11.2
63,Yan,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Yan.webp,Tetra,B1,Fire,Supporter,SSR,RL,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,11.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,16.8,11.2
64,Yuni,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Yuni.webp,Missilis,B2,Fire,Defender,SSR,RL,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,11.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,16.8,11.2
65,Crow,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Crow.webp,Missilis,B3,Fire,Defender,SSR,Dual SMG,2,135,1440,24,0.1333333333,0.1333333333,0.1333333333,0.2666666667,0.2666666667,0.4,0.5333333333,0.5333333333,0.6666666667,0.8,0.8,0.9333333333,1.066666667,1.066666667,1.2,1.333333333,1.333333333,1.466666667,1.466666667,1.6,1.733333333,1.733333333,1.866666667,2,2,2.133333333,2.266666667,2.266666667,2.4,2.533333333,2.533333333,2.666666667,2.666666667,2.8,2.933333333,2.933333333,3.066666667,3.2,3.2,3.333333333,3.466666667,3.466666667,3.6,3.733333333,3.733333333,3.866666667,4,4,4.133333333,4.133333333,4.266666667,4.4,4.4,4.533333333,4.666666667,4.666666667,4.8,4.933333333,4.933333333,5.066666667,5.2,5.2,5.333333333,5.333333333,5.466666667,5.6,5.6,5.733333333,5.866666667,5.866666667,6,6.133333333,6.133333333,6.266666667,6.4,6.4,6.533333333,6.533333333,6.666666667,6.8,6.8,6.933333333,7.066666667,7.066666667,7.2,7.333333333,7.333333333,7.466666667,7.6,7.6,7.733333333,7.866666667,7.866666667,8,8,8.133333333,8.266666667,8.266666667,8.4,8.533333333,8.533333333,8.666666667,8.8,8.8,8.933333333,9.066666667,9.066666667,9.2,9.2,9.333333333,9.466666667,9.466666667,9.6,9.733333333,9.733333333,9.866666667,10,10,10.13333333,10.26666667,10.26666667,10.4,10.4,10.53333333,10.66666667,10.66666667,10.8,10.93333333,10.93333333,11.06666667,11.2,11.2,11.33333333,11.46666667,11.46666667,11.6,11.73333333,11.73333333,11.86666667,11.86666667,12,12.13333333,12.13333333,12.26666667,12.4,12.4,12.53333333,12.66666667,12.66666667,12.8,12.93333333
66,Quency,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Quency.webp,Missilis,B2,Electric,Supporter,SSR,Dual SMG,2,135,1440,24,0.1333333333,0.1333333333,0.1333333333,0.2666666667,0.2666666667,0.4,0.5333333333,0.5333333333,0.6666666667,0.8,0.8,0.9333333333,1.066666667,1.066666667,1.2,1.333333333,1.333333333,1.466666667,1.466666667,1.6,1.733333333,1.733333333,1.866666667,2,2,2.133333333,2.266666667,2.266666667,2.4,2.533333333,2.533333333,2.666666667,2.666666667,2.8,2.933333333,2.933333333,3.066666667,3.2,3.2,3.333333333,3.466666667,3.466666667,3.6,3.733333333,3.733333333,3.866666667,4,4,4.133333333,4.133333333,4.266666667,4.4,4.4,4.533333333,4.666666667,4.666666667,4.8,4.933333333,4.933333333,5.066666667,5.2,5.2,5.333333333,5.333333333,5.466666667,5.6,5.6,5.733333333,5.866666667,5.866666667,6,6.133333333,6.133333333,6.266666667,6.4,6.4,6.533333333,6.533333333,6.666666667,6.8,6.8,6.933333333,7.066666667,7.066666667,7.2,7.333333333,7.333333333,7.466666667,7.6,7.6,7.733333333,7.866666667,7.866666667,8,8,8.133333333,8.266666667,8.266666667,8.4,8.533333333,8.533333333,8.666666667,8.8,8.8,8.933333333,9.066666667,9.066666667,9.2,9.2,9.333333333,9.466666667,9.466666667,9.6,9.733333333,9.733333333,9.866666667,10,10,10.13333333,10.26666667,10.26666667,10.4,10.4,10.53333333,10.66666667,10.66666667,10.8,10.93333333,10.93333333,11.06666667,11.2,11.2,11.33333333,11.46666667,11.46666667,11.6,11.73333333,11.73333333,11.86666667,11.86666667,12,12.13333333,12.13333333,12.26666667,12.4,12.4,12.53333333,12.66666667,12.66666667,12.8,12.93333333
67,Soline,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Soline.webp,Elysion,B3,Iron,Attacker,SSR,Dual SMG,2,135,1440,24,0.1333333333,0.1333333333,0.1333333333,0.2666666667,0.2666666667,0.4,0.5333333333,0.5333333333,0.6666666667,0.8,0.8,0.9333333333,1.066666667,1.066666667,1.2,1.333333333,1.333333333,1.466666667,1.466666667,1.6,1.733333333,1.733333333,1.866666667,2,2,2.133333333,2.266666667,2.266666667,2.4,2.533333333,2.533333333,2.666666667,2.666666667,2.8,2.933333333,2.933333333,3.066666667,3.2,3.2,3.333333333,3.466666667,3.466666667,3.6,3.733333333,3.733333333,3.866666667,4,4,4.133333333,4.133333333,4.266666667,4.4,4.4,4.533333333,4.666666667,4.666666667,4.8,4.933333333,4.933333333,5.066666667,5.2,5.2,5.333333333,5.333333333,5.466666667,5.6,5.6,5.733333333,5.866666667,5.866666667,6,6.133333333,6.133333333,6.266666667,6.4,6.4,6.533333333,6.533333333,6.666666667,6.8,6.8,6.933333333,7.066666667,7.066666667,7.2,7.333333333,7.333333333,7.466666667,7.6,7.6,7.733333333,7.866666667,7.866666667,8,8,8.133333333,8.266666667,8.266666667,8.4,8.533333333,8.533333333,8.666666667,8.8,8.8,8.933333333,9.066666667,9.066666667,9.2,9.2,9.333333333,9.466666667,9.466666667,9.6,9.733333333,9.733333333,9.866666667,10,10,10.13333333,10.26666667,10.26666667,10.4,10.4,10.53333333,10.66666667,10.66666667,10.8,10.93333333,10.93333333,11.06666667,11.2,11.2,11.33333333,11.46666667,11.46666667,11.6,11.73333333,11.73333333,11.86666667,11.86666667,12,12.13333333,12.13333333,12.26666667,12.4,12.4,12.53333333,12.66666667,12.66666667,12.8,12.93333333
68,Asuka (Ammo OLed),https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Asuka%20%28Ammo%20OLed%29.webp,Abnormal,B3,Fire,Attacker,SSR,AR (Special),1,60,720,12,0.2625,0.2625,0.2625,0.2625,0.2625,0.525,0.525,0.525,0.7875,0.7875,0.7875,1.05,1.05,1.05,1.3125,1.3125,1.3125,1.575,1.575,1.575,1.8375,1.8375,1.8375,2.1,2.1,2.1,2.3625,2.3625,2.3625,2.625,2.625,2.625,2.625,2.8875,2.8875,2.8875,3.15,3.15,3.15,3.4125,3.4125,3.4125,3.675,3.675,3.675,3.9375,3.9375,3.9375,4.2,4.2,4.2,4.4625,4.4625,4.4625,4.725,4.725,4.725,4.9875,4.9875,4.9875,5.25,5.25,5.25,5.25,5.5125,5.5125,5.5125,5.775,5.775,5.775,6.0375,6.0375,6.0375,6.3,6.3,6.3,6.5625,6.5625,6.5625,6.825,6.825,6.825,7.0875,7.0875,7.0875,7.35,7.35,7.35,7.6125,7.6125,7.6125,7.875,7.875,7.875,7.875,8.1375,8.1375,8.1375,8.4,8.4,8.4,8.6625,8.6625,8.6625,8.925,8.925,8.925,9.1875,9.1875,9.1875,9.45,9.45,9.45,9.7125,9.7125,9.7125,9.975,9.975,9.975,10.2375,10.2375,10.2375,10.2375,10.5,10.5,10.5,10.7625,10.7625,10.7625,11.025,11.025,11.025,11.2875,11.2875,11.2875,11.55,11.55,11.55,11.8125,11.8125,11.8125,12.075,12.075,12.075,12.3375,12.3375,12.3375,12.6,12.6,12.6,12.8625
69,Eunhwa,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Eunhwa.webp,Elysion,B2,Fire,Attacker,SSR,SR,2,6,60,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,11.6,11.6
70,Himeno,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Himeno.webp,Abnormal,B2,Wind,Supporter,SSR,SR,2,6,60,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,11.6,11.6
71,Cocoa,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Cocoa.webp,Tetra,B1,Fire,Supporter,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,11.2,11.2
72,D Killer Wife,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/D%20Killer%20Wife.webp,Elysion,B1,Fire,Supporter,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,11.2,11.2
73,Dolla,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Dolla.webp,Tetra,B2,Wind,Supporter,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,11.2,11.2
74,Exia,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Exia.webp,Elysion,B1,Electric,Supporter,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,11.2,11.2
75,Helm,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Helm.webp,Elysion,B3,Water,Attacker,SSR,SR,2,6,60,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,11.2,11.2
